Relative Time (ms),Temperature (C),Humidity (%),Pressure (hPa),Next Hour Temperature (C)
379112,8.52,22.55,1002.9,7.1
389112,8.51,22.42,1003,7.07
399112,8.48,22.32,1002.9,7.1
409112,8.5,22.34,1003,7.13
419112,8.51,22.52,1003,7.11
429112,8.5,21.94,1002.9,7.11
439112,8.51,21.85,1003,7.13
449112,8.5,22.1,1003,7.14
459112,8.52,22.95,1003,7.15
469112,8.5,22.1,1003,7.18
479112,8.48,21.92,1002.9,7.18
489112,8.45,22.01,1003,7.21
499112,8.45,22.05,1003,7.22
509112,8.48,24.71,1003,7.18
519112,8.5,23.18,1003,7.17
529112,8.55,23.35,1003,7.19
539112,8.62,23.19,1003,7.19
549112,8.68,23.94,1003,7.19
559112,8.74,22.72,1003,7.18
569112,8.79,24.19,1003,7.17
579112,8.83,24.57,1003,7.17
589112,8.88,22.97,1003,7.18
599112,8.86,22.92,1003,7.13
609112,8.79,22.1,1003,7.08
619112,8.72,21.85,1003,7.07
629112,8.68,21.96,1003,7.08
639112,8.64,21.87,1003,7.07
649112,8.64,22.03,1003,7.06
659112,8.68,22.74,1003,7.07
669112,8.72,22.3,1002.9,7
679112,8.72,21.92,1003,6.97
689112,8.71,21.79,1002.9,6.92
699112,8.71,21.75,1003,6.92
709112,8.72,22.61,1003,6.93
719112,8.7,23.09,1003,6.95
729112,8.67,23.06,1003,6.97
739112,8.68,22.85,1003,7
749112,8.67,22.83,1003,7.01
759112,8.62,22.64,1002.9,7.01
769112,8.54,22.68,1003,6.96
779112,8.51,22.8,1003,6.89
789112,8.47,22.77,1003,6.85
799112,8.41,22.81,1003,6.83
809112,8.39,22.54,1003,6.83
819112,8.34,22.21,1002.9,6.88
829112,8.32,21.99,1003,6.9
839112,8.3,22.06,1003,6.9
849112,8.29,22.1,1003,6.9
859112,8.3,21.94,1003,6.9
869112,8.29,21.96,1003,6.9
879112,8.25,21.79,1003,6.9
889112,8.23,21.89,1003,6.92
899112,8.26,21.99,1003,6.92
909112,8.22,22.88,1003,6.88
919112,8.22,22.72,1003,6.79
929112,8.22,22.42,1003,6.74
939112,8.22,22.18,1003,6.67
949112,8.23,22.1,1003,6.68
959112,8.21,22.1,1003,6.68
969112,8.22,22.21,1003,6.68
979112,8.21,22.26,1003,6.66
989112,8.25,22.28,1003,6.56
999112,8.23,22.45,1003,6.53
1009112,8.22,22.1,1003,6.52
1019112,8.19,22.1,1003,6.49
1029112,8.18,22.59,1003,6.48
1039112,8.15,22.21,1003.1,6.51
1049112,8.14,22.62,1003,6.52
1059112,8.11,22.23,1003,6.56
1069112,8.12,22.21,1003,6.56
1079112,8.12,22.29,1003,6.58
1089112,8.14,22.13,1003,6.61
1099112,8.14,22.15,1003,6.6
1109112,8.15,22.19,1003,6.53
1119112,8.16,22.19,1003,6.51
1129112,8.16,22.1,1003,6.49
1139112,8.16,22.15,1003,6.48
1149112,8.14,22.77,1003,6.49
1159112,8.11,22.89,1003,6.51
1169112,8.14,22.69,1003,6.51
1179112,8.18,22.92,1003,6.48
1189112,8.18,23.09,1003,6.51
1199112,8.19,22.92,1003,6.51
1209112,8.18,22.61,1003,6.55
1219112,8.16,22.31,1003,6.56
1229112,8.18,22.31,1003,6.6
1239112,8.19,22.56,1003,6.61
1249112,8.23,22.85,1003,6.63
1259112,8.25,23.21,1003,6.61
1269112,8.27,23.11,1003,6.58
1279112,8.27,22.75,1003,6.61
1289112,8.29,23.35,1003,6.58
1299112,8.3,23.68,1003,6.61
1309112,8.3,22.92,1003,6.58
1319112,8.29,23.18,1003,6.53
1329112,8.3,22.95,1003,6.49
1339112,8.29,22.64,1003,6.45
1349112,8.26,22.61,1003,6.42
1359112,8.23,22.61,1003,6.36
1369112,8.19,22.76,1003,6.26
1379112,8.16,22.92,1003,6.2
1389112,8.09,23.3,1003,6.16
1399112,8.09,23.03,1003,6.15
1409112,8.05,23.17,1003,6.18
1419112,8.05,23.09,1002.9,6.19
1429112,8.01,23.05,1003,6.2
1439112,7.98,23.14,1002.9,6.18
1449112,7.96,23.11,1002.9,6.16
1459112,7.94,23.14,1002.9,6.16
1469112,7.94,23.27,1002.9,6.19
1479112,7.94,23.53,1002.9,6.2
1489112,7.94,23.56,1002.9,6.23
1499112,7.93,23.61,1002.9,6.24
1509112,7.91,23.87,1002.9,6.27
1519112,7.93,23.46,1002.9,6.27
1529112,7.94,23.85,1002.9,6.31
1539112,7.91,23.92,1002.9,6.31
1549112,7.85,23.74,1002.9,6.36
1559112,7.86,24.03,1002.9,6.34
1569112,7.85,23.7,1002.9,6.33
1579112,7.88,23.67,1002.9,6.31
1589112,7.88,23.66,1002.9,6.27
1599112,7.85,23.65,1002.9,6.24
1609112,7.84,23.43,1002.9,6.26
1619112,7.84,23.26,1002.9,6.29
1629112,7.81,23.58,1002.9,6.33
1639112,7.74,23.51,1002.9,6.37
1649112,7.73,23.65,1002.9,6.36
1659112,7.73,23.92,1002.9,6.33
1669112,7.71,23.58,1002.9,6.29
1679112,7.74,23.4,1002.9,6.27
1689112,7.74,23.64,1002.9,6.27
1699112,7.73,24.79,1003,6.3
1709112,7.71,24.18,1002.9,6.33
1719112,7.68,23.67,1003,6.33
1729112,7.7,23.5,1002.9,6.34
1739112,7.71,23.61,1003,6.36
1749112,7.73,23.5,1002.9,6.37
1759112,7.71,23.67,1002.9,6.38
1769112,7.74,23.68,1003,6.38
1779112,7.79,23.82,1003,6.36
1789112,7.81,23.53,1003,6.36
1799112,7.79,23.91,1003,6.36
1809112,7.78,23.45,1003,6.34
1819112,7.77,23.56,1003,6.33
1829112,7.74,23.58,1003,6.27
1839112,7.74,23.69,1003,6.19
1849112,7.78,24.07,1003,6.15
1859112,7.77,23.74,1003,6.13
1869112,7.79,23.55,1003,6.13
1879112,7.84,23.8,1003,6.11
1889112,7.86,23.87,1003,6.08
1899112,7.94,23.82,1003,6.06
1909112,7.96,23.75,1003,6.05
1919112,7.98,23.79,1003,6.05
1929112,7.97,23.78,1003,6.05
1939112,8,23.66,1003.1,6.06
1949112,7.98,23.43,1003.1,6.09
1959112,7.97,23.37,1003.1,6.12
1969112,7.94,23.17,1003,6.09
1979112,7.89,23.28,1003,6.08
1989112,7.94,23.66,1003,6.05
1999112,7.96,23.55,1003.1,6.01
2009112,7.93,23.44,1003,5.98
2019112,7.91,23.47,1003,5.95
2029112,7.91,23.49,1003,5.95
2039112,7.86,23.85,1003.1,5.98
2049112,7.77,24.19,1003,5.98
2059112,7.67,24.43,1003.1,5.97
2069112,7.64,24.07,1003.1,5.92
2079112,7.63,24.01,1003,5.9
2089112,7.62,24.62,1003,5.89
2099112,7.66,24.26,1003,5.88
2109112,7.68,24.18,1003,5.9
2119112,7.68,24.14,1003,5.95
2129112,7.71,24.01,1003,5.98
2139112,7.74,23.92,1003.1,6.01
2149112,7.75,23.68,1003,6.01
2159112,7.78,23.68,1003,6.02
2169112,7.74,23.8,1003,6.04
2179112,7.67,24.43,1003.1,6.05
2189112,7.57,24.48,1003,6.05
2199112,7.52,24.36,1003.1,6.02
2209112,7.49,23.93,1003.1,6
2219112,7.5,24.1,1003,5.95
2229112,7.5,23.87,1003,5.92
2239112,7.53,23.82,1003.1,5.97
2249112,7.52,24.54,1003.1,6
2259112,7.52,24.09,1003.1,6.01
2269112,7.5,24.05,1003.1,6.02
2279112,7.5,24.07,1003.1,6.02
2289112,7.53,23.9,1003.1,6.04
2299112,7.56,23.64,1003.1,6.04
2309112,7.52,23.65,1003.1,6.08
